,Symbol,Action,Expiry,Days To Expiry,Strike Price,Mid Price,Bid Price,Ask Price,Implied Volatility Rank,Earnings Date,Earnings Flag,Stock Price,Raw Return,Annualized Return,Distance To Strike
189,TSN,Sell to Open,06/16/2023,38,$52.50,$0.42,$0.40,$0.45,39%,,N,$48.82,0.87%,8.59%,7.54%
190,AMD,Sell to Open,06/23/2023,45,$115.00,$0.82,$0.79,$0.85,11%,08/01/2023,N,$95.06,0.86%,7.16%,20.98%
191,YCS,Sell to Open,06/16/2023,38,$62.00,$0.50,$0.45,$0.55,17%,,N,$58.71,0.85%,8.4%,5.61%
192,UPRO,Sell to Open,06/23/2023,45,$44.00,$0.32,$0.25,$0.40,6%,,N,$38.34,0.85%,7.03%,14.76%
193,CAT,Sell to Open,06/23/2023,45,$235.00,$1.80,$1.71,$1.90,22%,08/01/2023,N,$213.49,0.85%,7.01%,10.08%
194,ANET,Sell to Open,06/23/2023,45,$155.00,$1.17,$1.00,$1.35,5%,07/31/2023,N,$138.52,0.85%,7.04%,11.9%
195,SAIA,Sell to Open,06/16/2023,38,$330.00,$2.40,$0.80,$4.00,7%,07/27/2023,N,$284.06,0.84%,8.33%,16.17%
196,NFLX,Sell to Open,06/23/2023,45,$375.00,$2.77,$2.59,$2.96,2%,07/18/2023,N,$332.14,0.84%,6.93%,12.9%
197,GM,Sell to Open,06/23/2023,45,$38.00,$0.28,$0.26,$0.30,17%,07/25/2023,N,$33.28,0.84%,6.98%,14.18%
198,EOG,Sell to Open,06/23/2023,45,$130.00,$0.95,$0.85,$1.05,13%,08/03/2023,N,$113.77,0.84%,6.93%,14.27%
199,HES,Sell to Open,06/23/2023,45,$157.50,$1.12,$0.90,$1.35,14%,07/26/2023,N,$136.16,0.83%,6.85%,15.67%
200,NEM,Sell to Open,06/23/2023,45,$55.00,$0.40,$0.37,$0.43,16%,07/24/2023,N,$48.15,0.83%,6.89%,14.23%
201,LNG,Sell to Open,06/23/2023,45,$165.00,$1.22,$0.45,$2.00,4%,08/03/2023,N,$149.58,0.82%,6.79%,10.31%
202,EXP,Sell to Open,06/16/2023,38,$175.00,$1.29,$1.15,$1.45,25%,05/18/2023,Y,$158.76,0.82%,8.08%,10.23%
203,AVGO,Sell to Open,06/23/2023,45,$680.00,$5.09,$4.70,$5.50,27%,06/01/2023,Y,$618.51,0.82%,6.84%,9.94%
204,XME,Sell to Open,06/23/2023,45,$54.00,$0.40,$0.20,$0.60,0%,,N,$48.88,0.82%,6.79%,10.47%
205,SNPS,Sell to Open,06/16/2023,38,$400.00,$3.00,$2.00,$4.00,23%,05/17/2023,Y,$366.95,0.82%,8.07%,9.01%
206,NXPI,Sell to Open,06/23/2023,45,$185.00,$1.35,$1.15,$1.55,0%,07/24/2023,N,$165.09,0.82%,6.78%,12.06%
207,OXY,Sell to Open,06/23/2023,45,$68.00,$0.47,$0.41,$0.54,8%,05/09/2023,Y,$58.96,0.81%,6.68%,15.33%
208,TOL,Sell to Open,06/23/2023,45,$73.00,$0.52,$0.40,$0.65,12%,05/23/2023,Y,$64.80,0.81%,6.72%,12.65%
209,QCOM,Sell to Open,06/23/2023,45,$117.00,$0.85,$0.79,$0.92,5%,08/02/2023,N,$105.77,0.81%,6.71%,10.62%
210,LULU,Sell to Open,06/23/2023,45,$435.00,$3.09,$2.88,$3.30,30%,06/01/2023,Y,$381.44,0.81%,6.72%,14.04%
211,UBER,Sell to Open,06/23/2023,45,$44.00,$0.30,$0.28,$0.33,3%,08/01/2023,N,$38.19,0.8%,6.63%,15.21%
212,PYPL,Sell to Open,06/23/2023,45,$76.00,$0.52,$0.50,$0.55,27%,,N,$65.90,0.8%,6.61%,15.32%
213,F,Sell to Open,06/23/2023,45,$13.50,$0.09,$0.09,$0.10,2%,07/27/2023,N,$11.86,0.8%,6.64%,13.83%
214,UDOW,Sell to Open,06/16/2023,38,$64.00,$0.45,$0.35,$0.55,9%,,N,$56.34,0.8%,7.88%,13.6%
215,DAL,Sell to Open,06/23/2023,45,$39.00,$0.27,$0.25,$0.30,14%,07/12/2023,N,$34.20,0.8%,6.67%,14.04%
216,XBI,Sell to Open,06/23/2023,45,$95.00,$0.68,$0.62,$0.75,6%,,N,$85.91,0.8%,6.61%,10.58%
217,ASML,Sell to Open,06/23/2023,45,$720.00,$5.05,$4.40,$5.70,0%,07/19/2023,N,$643.05,0.79%,6.51%,11.97%
218,COP,Sell to Open,06/23/2023,45,$115.00,$0.80,$0.74,$0.87,13%,08/03/2023,N,$101.53,0.79%,6.58%,13.27%
219,SLB,Sell to Open,06/23/2023,45,$55.00,$0.37,$0.30,$0.45,49%,07/21/2023,N,$47.17,0.79%,6.59%,16.6%
220,OIH,Sell to Open,06/23/2023,45,$305.00,$2.07,$1.95,$2.20,15%,,N,$263.13,0.79%,6.54%,15.91%
221,KBH,Sell to Open,06/16/2023,38,$50.00,$0.35,$0.30,$0.40,4%,06/21/2023,N,$45.01,0.78%,7.67%,11.09%
222,LIT,Sell to Open,06/16/2023,38,$65.00,$0.47,$0.45,$0.50,8%,,N,$60.76,0.78%,7.71%,6.98%
223,PANW,Sell to Open,06/23/2023,45,$225.00,$1.53,$1.41,$1.66,33%,05/23/2023,Y,$195.84,0.78%,6.5%,14.89%
224,NOW,Sell to Open,06/23/2023,45,$500.00,$3.45,$3.30,$3.60,3%,07/26/2023,N,$441.39,0.78%,6.48%,13.28%
225,BBY,Sell to Open,06/23/2023,45,$83.00,$0.57,$0.49,$0.65,21%,05/25/2023,Y,$72.65,0.78%,6.51%,14.25%
226,META,Sell to Open,06/23/2023,45,$265.00,$1.82,$1.52,$2.13,0%,07/26/2023,N,$233.37,0.78%,6.49%,13.55%
227,MTB,Sell to Open,06/16/2023,38,$135.00,$0.90,$0.70,$1.10,61%,07/19/2023,N,$116.73,0.77%,7.61%,15.65%
228,LEN,Sell to Open,06/23/2023,45,$128.00,$0.87,$0.65,$1.10,5%,06/20/2023,Y,$114.36,0.77%,6.35%,11.93%
229,CRM,Sell to Open,06/23/2023,45,$230.00,$1.55,$1.45,$1.66,31%,05/31/2023,Y,$201.18,0.77%,6.41%,14.33%
230,FICO,Sell to Open,06/16/2023,38,$810.00,$5.65,$5.00,$6.30,9%,08/02/2023,N,$737.24,0.77%,7.56%,9.87%
231,AMP,Sell to Open,06/16/2023,38,$320.00,$2.25,$2.00,$2.50,23%,07/26/2023,N,$293.49,0.77%,7.56%,9.03%
232,TTWO,Sell to Open,06/23/2023,45,$145.00,$0.96,$0.86,$1.06,40%,05/17/2023,Y,$124.60,0.77%,6.39%,16.37%
233,ULTA,Sell to Open,06/23/2023,45,$570.00,$3.90,$3.50,$4.30,34%,05/25/2023,Y,$509.09,0.77%,6.35%,11.96%
234,WHR,Sell to Open,06/23/2023,45,$150.00,$1.05,$0.80,$1.30,9%,07/24/2023,N,$135.94,0.77%,6.41%,10.34%
235,WDAY,Sell to Open,06/23/2023,45,$205.00,$1.36,$1.01,$1.72,21%,05/25/2023,Y,$178.43,0.77%,6.35%,14.89%
236,WFC,Sell to Open,06/23/2023,45,$43.00,$0.29,$0.27,$0.32,40%,07/14/2023,N,$38.54,0.77%,6.35%,11.57%
237,FDX,Sell to Open,06/23/2023,45,$255.00,$1.74,$1.62,$1.87,8%,06/20/2023,Y,$228.63,0.76%,6.33%,11.53%
238,AMT,Sell to Open,06/16/2023,38,$210.00,$1.47,$1.40,$1.55,32%,07/27/2023,N,$193.52,0.76%,7.52%,8.52%
239,VEEV,Sell to Open,06/16/2023,38,$200.00,$1.32,$1.25,$1.40,22%,05/31/2023,Y,$175.23,0.76%,7.46%,14.14%
240,GLD,Sell to Open,06/16/2023,38,$200.00,$1.43,$1.42,$1.45,48%,,N,$189.02,0.76%,7.49%,5.81%
241,FIS,Sell to Open,06/16/2023,38,$62.50,$0.42,$0.35,$0.50,22%,08/03/2023,N,$55.65,0.76%,7.53%,12.31%
242,KLAC,Sell to Open,06/23/2023,45,$425.00,$2.80,$2.40,$3.20,4%,07/27/2023,N,$375.75,0.75%,6.18%,13.11%
243,EL,Sell to Open,06/16/2023,38,$220.00,$1.50,$1.35,$1.65,4%,08/18/2023,N,$201.26,0.75%,7.35%,9.31%
244,A,Sell to Open,06/16/2023,38,$140.00,$0.95,$0.65,$1.25,22%,05/23/2023,Y,$127.35,0.75%,7.36%,9.93%
245,PLD,Sell to Open,06/16/2023,38,$135.00,$0.95,$0.85,$1.05,8%,07/18/2023,N,$125.92,0.75%,7.44%,7.21%
246,D,Sell to Open,06/16/2023,38,$60.00,$0.42,$0.35,$0.50,44%,08/07/2023,N,$56.50,0.75%,7.42%,6.19%
247,DOW,Sell to Open,06/23/2023,45,$58.00,$0.40,$0.33,$0.47,15%,07/25/2023,N,$53.67,0.75%,6.18%,8.07%
248,LOW,Sell to Open,06/23/2023,45,$230.00,$1.52,$1.40,$1.65,36%,05/23/2023,Y,$207.12,0.74%,6.11%,11.05%
249,SO,Sell to Open,06/23/2023,45,$78.00,$0.55,$0.45,$0.65,8%,07/27/2023,N,$74.69,0.74%,6.11%,4.43%
250,ROST,Sell to Open,06/23/2023,45,$117.00,$0.77,$0.70,$0.85,34%,05/18/2023,Y,$104.08,0.74%,6.18%,12.41%
251,ISRG,Sell to Open,06/23/2023,45,$330.00,$2.22,$1.65,$2.80,7%,07/20/2023,N,$301.55,0.74%,6.12%,9.43%
252,RIO,Sell to Open,06/16/2023,38,$70.00,$0.47,$0.40,$0.55,10%,07/26/2023,N,$63.84,0.74%,7.34%,9.65%
253,LOGI,Sell to Open,06/16/2023,38,$70.00,$0.47,$0.40,$0.55,1%,07/24/2023,N,$63.93,0.74%,7.33%,9.49%
254,AMGN,Sell to Open,06/23/2023,45,$250.00,$1.74,$0.89,$2.59,24%,08/03/2023,N,$234.43,0.74%,6.16%,6.64%
255,AMZN,Sell to Open,06/23/2023,45,$119.00,$0.78,$0.74,$0.83,4%,07/27/2023,N,$106.62,0.74%,6.11%,11.61%
256,SPG,Sell to Open,06/16/2023,38,$115.00,$0.77,$0.70,$0.85,22%,07/31/2023,N,$106.49,0.73%,7.18%,7.99%
257,ATVI,Sell to Open,06/23/2023,45,$83.00,$0.54,$0.41,$0.69,33%,07/31/2023,N,$75.51,0.73%,6.04%,9.92%
258,XLB,Sell to Open,06/23/2023,45,$83.50,$0.57,$0.05,$1.10,12%,,N,$78.68,0.73%,6.06%,6.13%
259,PXD,Sell to Open,06/23/2023,45,$240.00,$1.55,$0.85,$2.25,21%,08/01/2023,N,$211.24,0.73%,6.09%,13.61%
260,NEE,Sell to Open,06/16/2023,38,$80.00,$0.55,$0.50,$0.60,2%,07/20/2023,N,$75.58,0.73%,7.18%,5.85%
261,TSM,Sell to Open,06/23/2023,45,$94.00,$0.62,$0.59,$0.66,3%,07/20/2023,N,$85.06,0.73%,6.1%,10.51%
262,XLC,Sell to Open,06/23/2023,45,$62.00,$0.42,$0.10,$0.75,6%,,N,$58.55,0.73%,6.02%,5.89%
263,WYNN,Sell to Open,06/23/2023,45,$130.00,$0.80,$0.72,$0.89,7%,05/09/2023,Y,$111.70,0.72%,5.98%,16.38%
264,SPXL,Sell to Open,06/23/2023,45,$85.00,$0.52,$0.35,$0.70,6%,,N,$72.84,0.72%,5.98%,16.69%
265,ITB,Sell to Open,06/23/2023,45,$82.50,$0.55,$0.45,$0.65,6%,,N,$75.99,0.72%,6%,8.57%
266,KRE,Sell to Open,06/23/2023,45,$44.50,$0.27,$0.07,$0.47,57%,,N,$37.42,0.72%,5.99%,18.92%
267,EBAY,Sell to Open,06/23/2023,45,$50.00,$0.32,$0.29,$0.37,5%,08/02/2023,N,$45.81,0.72%,5.98%,9.15%
268,UNP,Sell to Open,06/23/2023,45,$215.00,$1.45,$1.30,$1.60,21%,07/20/2023,N,$200.59,0.72%,6%,7.18%
269,GOOGL,Sell to Open,06/23/2023,45,$119.00,$0.76,$0.67,$0.86,32%,07/25/2023,N,$107.35,0.71%,5.91%,10.85%
270,BLK,Sell to Open,06/23/2023,45,$690.00,$4.50,$3.50,$5.50,19%,07/14/2023,N,$635.57,0.71%,5.87%,8.56%
271,BALL,Sell to Open,06/16/2023,38,$62.50,$0.40,$0.35,$0.45,7%,08/09/2023,N,$57.03,0.7%,6.92%,9.59%
272,BKNG,Sell to Open,06/23/2023,45,"$2,880.00",$18.45,$10.10,$26.80,0%,08/02/2023,N,"$2,634.91",0.7%,5.81%,9.3%
273,FANG,Sell to Open,06/16/2023,38,$150.00,$0.92,$0.85,$1.00,15%,07/31/2023,N,$132.91,0.7%,6.87%,12.86%
274,PSX,Sell to Open,06/23/2023,45,$106.00,$0.64,$0.60,$0.70,14%,07/28/2023,N,$93.98,0.69%,5.74%,12.79%
275,MGM,Sell to Open,06/23/2023,45,$49.00,$0.30,$0.24,$0.36,3%,08/02/2023,N,$43.39,0.69%,5.74%,12.93%
276,DHI,Sell to Open,06/23/2023,45,$121.00,$0.75,$0.60,$0.90,5%,07/20/2023,N,$108.99,0.69%,5.71%,11.02%
277,REMX,Sell to Open,06/16/2023,38,$91.00,$0.57,$0.50,$0.65,3%,,N,$82.85,0.69%,6.85%,9.84%
278,SMH,Sell to Open,06/23/2023,45,$135.00,$0.85,$0.77,$0.93,2%,,N,$123.14,0.69%,5.73%,9.63%
279,TGT,Sell to Open,06/23/2023,45,$180.00,$1.06,$1.00,$1.14,51%,05/17/2023,Y,$157.42,0.68%,5.64%,14.34%
280,SOXX,Sell to Open,06/16/2023,38,$445.00,$2.80,$2.65,$2.95,2%,,N,$409.56,0.68%,6.74%,8.65%
281,MNST,Sell to Open,06/16/2023,38,$62.50,$0.40,$0.35,$0.45,6%,08/03/2023,N,$58.69,0.68%,6.72%,6.49%
282,GOOG,Sell to Open,06/23/2023,45,$120.00,$0.73,$0.63,$0.83,19%,07/25/2023,N,$107.94,0.68%,5.61%,11.17%
283,QRVO,Sell to Open,06/16/2023,38,$105.00,$0.62,$0.55,$0.70,0%,08/02/2023,N,$93.14,0.67%,6.62%,12.73%
284,PNC,Sell to Open,06/23/2023,45,$135.00,$0.77,$0.60,$0.95,41%,07/18/2023,N,$115.70,0.67%,5.56%,16.68%
285,NKE,Sell to Open,06/23/2023,45,$137.00,$0.82,$0.72,$0.93,9%,06/26/2023,N,$125.10,0.66%,5.47%,9.51%
286,TD,Sell to Open,06/16/2023,38,$65.00,$0.40,$0.30,$0.50,32%,05/25/2023,Y,$60.79,0.66%,6.49%,6.93%
287,AIG,Sell to Open,06/23/2023,45,$59.00,$0.35,$0.25,$0.45,30%,08/08/2023,N,$53.10,0.66%,5.47%,11.11%
288,SHEL,Sell to Open,06/23/2023,45,$66.00,$0.40,$0.35,$0.45,11%,07/27/2023,N,$60.84,0.66%,5.45%,8.48%
289,EA,Sell to Open,06/23/2023,45,$139.00,$0.82,$0.60,$1.05,36%,05/09/2023,Y,$125.41,0.66%,5.46%,10.84%
290,CAH,Sell to Open,06/23/2023,45,$92.00,$0.55,$0.35,$0.75,14%,08/10/2023,N,$84.35,0.65%,5.41%,9.07%
291,DFS,Sell to Open,06/23/2023,45,$109.00,$0.62,$0.45,$0.80,31%,07/19/2023,N,$96.69,0.65%,5.36%,12.73%
292,APTV,Sell to Open,06/16/2023,38,$105.00,$0.60,$0.45,$0.75,10%,08/03/2023,N,$93.37,0.64%,6.34%,12.46%
293,KR,Sell to Open,06/23/2023,45,$54.00,$0.31,$0.25,$0.38,5%,06/15/2023,Y,$49.16,0.64%,5.32%,9.85%
294,MAR,Sell to Open,06/23/2023,45,$195.00,$1.14,$0.95,$1.35,6%,08/01/2023,N,$178.99,0.64%,5.33%,8.94%
295,MMM,Sell to Open,06/23/2023,45,$110.00,$0.64,$0.56,$0.73,32%,07/25/2023,N,$100.80,0.64%,5.31%,9.13%
296,ADI,Sell to Open,06/23/2023,45,$200.00,$1.14,$1.00,$1.30,15%,05/24/2023,Y,$179.62,0.64%,5.31%,11.35%
297,IHI,Sell to Open,06/16/2023,38,$58.00,$0.35,$0.30,$0.40,9%,,N,$55.49,0.63%,6.22%,4.52%
298,FISV,Sell to Open,06/23/2023,45,$129.00,$0.75,$0.60,$0.90,18%,07/25/2023,N,$119.39,0.63%,5.21%,8.05%
299,LLY,Sell to Open,06/23/2023,45,$465.00,$2.69,$2.34,$3.05,0%,08/08/2023,N,$428.38,0.63%,5.22%,8.55%
300,PHM,Sell to Open,06/23/2023,45,$75.00,$0.42,$0.35,$0.50,1%,07/25/2023,N,$67.73,0.63%,5.21%,10.73%
301,VDE,Sell to Open,06/16/2023,38,$121.00,$0.70,$0.45,$0.95,17%,,N,$110.56,0.63%,6.25%,9.44%
302,VGLT,Sell to Open,06/16/2023,38,$67.00,$0.40,$0.35,$0.45,18%,,N,$63.88,0.63%,6.18%,4.88%
303,MSFT,Sell to Open,06/23/2023,45,$330.00,$1.93,$1.82,$2.05,0%,07/25/2023,N,$307.00,0.63%,5.23%,7.49%
304,ORCL,Sell to Open,06/23/2023,45,$106.00,$0.60,$0.55,$0.65,6%,06/12/2023,Y,$96.14,0.62%,5.18%,10.26%
305,REGN,Sell to Open,06/23/2023,45,$830.00,$4.70,$2.60,$6.80,7%,08/02/2023,N,$754.88,0.62%,5.16%,9.95%
306,CMI,Sell to Open,06/16/2023,38,$240.00,$1.37,$1.30,$1.45,33%,08/01/2023,N,$221.04,0.62%,6.14%,8.58%
307,STT,Sell to Open,06/16/2023,38,$77.50,$0.42,$0.35,$0.50,19%,07/14/2023,N,$68.98,0.62%,6.08%,12.35%
308,GE,Sell to Open,06/23/2023,45,$112.00,$0.62,$0.57,$0.68,11%,07/25/2023,N,$101.00,0.62%,5.13%,10.89%
309,CSCO,Sell to Open,06/23/2023,45,$51.00,$0.28,$0.27,$0.30,41%,05/17/2023,Y,$46.47,0.61%,5.09%,9.75%
310,GILD,Sell to Open,06/23/2023,45,$85.00,$0.47,$0.33,$0.62,44%,08/03/2023,N,$78.80,0.6%,5%,7.87%
311,TMO,Sell to Open,06/23/2023,45,$590.00,$3.20,$1.80,$4.60,13%,07/27/2023,N,$534.66,0.6%,4.96%,10.35%
312,DRI,Sell to Open,06/16/2023,38,$160.00,$0.89,$0.85,$0.95,12%,06/22/2023,N,$150.33,0.6%,5.91%,6.43%
313,BMY,Sell to Open,06/23/2023,45,$72.00,$0.40,$0.33,$0.48,10%,07/27/2023,N,$68.00,0.6%,4.94%,5.88%
314,DPZ,Sell to Open,06/23/2023,45,$340.00,$1.85,$1.45,$2.25,6%,07/20/2023,N,$308.64,0.6%,4.97%,10.16%
315,CI,Sell to Open,06/23/2023,45,$290.00,$1.57,$0.80,$2.35,28%,08/03/2023,N,$262.79,0.6%,4.97%,10.35%
316,COST,Sell to Open,06/23/2023,45,$540.00,$2.97,$2.74,$3.20,14%,05/25/2023,Y,$500.79,0.59%,4.92%,7.83%
317,AGNC,Sell to Open,06/23/2023,45,$10.50,$0.05,$0.02,$0.09,13%,07/24/2023,N,$9.36,0.59%,4.87%,12.18%
318,CMG,Sell to Open,06/23/2023,45,"$2,210.00",$11.95,$9.20,$14.70,0%,07/25/2023,N,"$2,032.66",0.59%,4.88%,8.72%
319,DXCM,Sell to Open,06/16/2023,38,$135.00,$0.70,$0.65,$0.75,1%,07/27/2023,N,$119.65,0.59%,5.77%,12.83%
320,HD,Sell to Open,06/23/2023,45,$320.00,$1.70,$1.58,$1.82,38%,05/16/2023,Y,$290.58,0.59%,4.85%,10.12%
321,ABC,Sell to Open,06/23/2023,45,$180.00,$1.00,$0.60,$1.40,11%,08/02/2023,N,$168.25,0.59%,4.93%,6.98%
322,AEM,Sell to Open,06/16/2023,38,$70.00,$0.35,$0.30,$0.40,18%,07/26/2023,N,$59.95,0.58%,5.76%,16.76%
323,FXY,Sell to Open,06/16/2023,38,$71.00,$0.40,$0.35,$0.45,8%,,N,$68.88,0.58%,5.73%,3.08%
324,JPM,Sell to Open,06/23/2023,45,$148.00,$0.78,$0.71,$0.86,22%,07/14/2023,N,$136.41,0.58%,4.77%,8.5%
325,IGV,Sell to Open,06/16/2023,38,$315.00,$1.67,$1.55,$1.80,0%,,N,$295.26,0.57%,5.6%,6.69%
326,CLX,Sell to Open,06/23/2023,45,$180.00,$0.95,$0.75,$1.15,1%,08/03/2023,N,$168.13,0.57%,4.69%,7.06%
327,VB,Sell to Open,06/16/2023,38,$195.00,$1.05,$0.85,$1.25,17%,,N,$184.63,0.57%,5.61%,5.62%
328,NCLH,Sell to Open,06/23/2023,45,$18.50,$0.08,$0.06,$0.10,5%,08/08/2023,N,$14.11,0.57%,4.7%,31.11%
329,MBB,Sell to Open,06/16/2023,38,$96.00,$0.52,$0.45,$0.60,38%,,N,$94.16,0.56%,5.5%,1.95%
330,FXB,Sell to Open,06/16/2023,38,$123.00,$0.67,$0.50,$0.85,0%,,N,$121.30,0.56%,5.49%,1.4%
331,CVS,Sell to Open,06/23/2023,45,$77.00,$0.39,$0.35,$0.43,30%,08/02/2023,N,$69.97,0.56%,4.62%,10.05%
332,PRU,Sell to Open,06/16/2023,38,$90.00,$0.45,$0.40,$0.50,29%,08/01/2023,N,$81.50,0.55%,5.45%,10.43%
333,MS,Sell to Open,06/23/2023,45,$93.00,$0.46,$0.42,$0.51,22%,07/18/2023,N,$84.37,0.55%,4.57%,10.23%
334,IYR,Sell to Open,06/23/2023,45,$90.00,$0.46,$0.32,$0.61,26%,,N,$84.27,0.55%,4.58%,6.8%
335,SRE,Sell to Open,06/16/2023,38,$165.00,$0.85,$0.75,$0.95,7%,08/03/2023,N,$155.71,0.55%,5.39%,5.97%
336,XHB,Sell to Open,06/23/2023,45,$77.50,$0.39,$0.11,$0.67,38%,,N,$71.32,0.55%,4.54%,8.67%
337,LYV,Sell to Open,06/16/2023,38,$87.50,$0.42,$0.35,$0.50,0%,08/03/2023,N,$77.63,0.55%,5.4%,12.71%
338,PH,Sell to Open,06/16/2023,38,$370.00,$1.87,$1.75,$2.00,27%,08/03/2023,N,$339.11,0.55%,5.45%,9.11%
339,BMO,Sell to Open,06/16/2023,38,$95.00,$0.47,$0.40,$0.55,36%,05/24/2023,Y,$87.89,0.54%,5.33%,8.09%
340,XOM,Sell to Open,06/23/2023,45,$121.00,$0.58,$0.55,$0.62,16%,07/28/2023,N,$109.14,0.54%,4.45%,10.87%
341,FDN,Sell to Open,06/16/2023,38,$153.00,$0.75,$0.50,$1.00,2%,,N,$141.12,0.53%,5.24%,8.42%
342,SPGI,Sell to Open,06/23/2023,45,$385.00,$1.90,$1.00,$2.80,18%,08/01/2023,N,$355.27,0.53%,4.44%,8.37%
343,UPS,Sell to Open,06/23/2023,45,$185.00,$0.90,$0.82,$0.99,10%,07/25/2023,N,$173.01,0.52%,4.34%,6.93%
344,ET,Sell to Open,06/23/2023,45,$13.50,$0.06,$0.05,$0.08,0%,08/02/2023,N,$12.50,0.52%,4.31%,8%
345,KMB,Sell to Open,06/23/2023,45,$150.00,$0.75,$0.45,$1.05,4%,07/25/2023,N,$143.92,0.52%,4.32%,4.22%
346,TJX,Sell to Open,06/23/2023,45,$86.00,$0.41,$0.37,$0.45,24%,05/17/2023,Y,$78.59,0.52%,4.33%,9.43%
347,GD,Sell to Open,06/23/2023,45,$225.00,$1.07,$0.70,$1.45,16%,07/26/2023,N,$211.20,0.51%,4.22%,6.53%
348,DD,Sell to Open,06/23/2023,45,$71.00,$0.32,$0.25,$0.40,16%,08/01/2023,N,$64.27,0.51%,4.19%,10.47%
349,XLE,Sell to Open,06/23/2023,45,$89.00,$0.41,$0.35,$0.47,13%,,N,$80.26,0.51%,4.24%,10.89%
350,AZN,Sell to Open,06/23/2023,45,$82.00,$0.38,$0.28,$0.48,14%,07/28/2023,N,$75.08,0.51%,4.2%,9.22%
351,IYT,Sell to Open,06/16/2023,38,$240.00,$1.14,$1.00,$1.30,8%,,N,$226.53,0.51%,5.01%,5.95%
352,TSCO,Sell to Open,06/23/2023,45,$265.00,$1.22,$0.85,$1.60,5%,07/27/2023,N,$241.71,0.51%,4.2%,9.64%
353,HCA,Sell to Open,06/16/2023,38,$295.00,$1.40,$1.05,$1.75,9%,07/21/2023,N,$274.05,0.51%,5.04%,7.64%
354,TLT,Sell to Open,06/23/2023,45,$111.00,$0.51,$0.49,$0.54,13%,,N,$103.05,0.5%,4.15%,7.71%
355,NOC,Sell to Open,06/23/2023,45,$480.00,$2.22,$1.05,$3.40,11%,07/27/2023,N,$442.31,0.5%,4.17%,8.52%
356,IBM,Sell to Open,06/23/2023,45,$129.00,$0.61,$0.55,$0.67,6%,07/19/2023,N,$121.17,0.5%,4.18%,6.46%
357,IBB,Sell to Open,06/23/2023,45,$139.00,$0.65,$0.45,$0.85,7%,,N,$130.60,0.5%,4.13%,6.43%
358,GS,Sell to Open,06/23/2023,45,$355.00,$1.63,$1.49,$1.77,19%,07/18/2023,N,$324.77,0.5%,4.16%,9.31%
359,MA,Sell to Open,06/23/2023,45,$410.00,$1.91,$1.76,$2.07,6%,07/27/2023,N,$382.94,0.5%,4.15%,7.07%
360,ABT,Sell to Open,06/23/2023,45,$118.00,$0.53,$0.44,$0.63,11%,07/19/2023,N,$110.25,0.49%,4.03%,7.03%
361,IWM,Sell to Open,06/23/2023,45,$186.00,$0.84,$0.82,$0.87,13%,,N,$173.53,0.49%,4.04%,7.19%
362,CVX,Sell to Open,06/23/2023,45,$175.00,$0.78,$0.70,$0.86,17%,07/28/2023,N,$159.12,0.49%,4.07%,9.98%
363,AAPL,Sell to Open,06/23/2023,45,$185.00,$0.85,$0.82,$0.88,0%,08/03/2023,N,$171.77,0.49%,4.1%,7.7%
364,DG,Sell to Open,06/23/2023,45,$245.00,$1.07,$0.90,$1.25,27%,06/01/2023,Y,$220.61,0.49%,4.04%,11.06%
365,EMR,Sell to Open,06/23/2023,45,$91.00,$0.40,$0.30,$0.50,13%,08/09/2023,N,$83.65,0.48%,3.97%,8.79%
366,RACE,Sell to Open,06/23/2023,45,$320.00,$1.40,$1.00,$1.80,0%,08/02/2023,N,$294.19,0.48%,3.95%,8.77%
367,PCAR,Sell to Open,06/16/2023,38,$80.00,$0.35,$0.30,$0.40,33%,07/25/2023,N,$73.33,0.48%,4.71%,9.1%
368,XLY,Sell to Open,06/23/2023,45,$158.00,$0.71,$0.10,$1.33,18%,,N,$147.65,0.48%,4.02%,7.01%
369,MDLZ,Sell to Open,06/23/2023,45,$82.00,$0.37,$0.25,$0.50,5%,07/25/2023,N,$77.89,0.48%,3.99%,5.28%
370,QQQ,Sell to Open,06/23/2023,45,$342.00,$1.50,$1.47,$1.53,0%,,N,$321.64,0.47%,3.87%,6.33%
371,UNH,Sell to Open,06/23/2023,45,$530.00,$2.28,$1.93,$2.64,12%,07/14/2023,N,$490.38,0.47%,3.87%,8.08%
372,HON,Sell to Open,06/23/2023,45,$210.00,$0.92,$0.70,$1.15,13%,07/27/2023,N,$197.13,0.47%,3.89%,6.53%
373,ADM,Sell to Open,06/23/2023,45,$82.00,$0.35,$0.25,$0.45,10%,07/25/2023,N,$75.02,0.47%,3.87%,9.3%
374,DLR,Sell to Open,06/16/2023,38,$110.00,$0.45,$0.40,$0.50,52%,07/27/2023,N,$96.61,0.47%,4.59%,13.86%
375,DOV,Sell to Open,06/16/2023,38,$155.00,$0.65,$0.55,$0.75,19%,07/20/2023,N,$142.63,0.46%,4.5%,8.67%
376,VNQ,Sell to Open,06/16/2023,38,$88.00,$0.37,$0.30,$0.45,25%,,N,$82.16,0.46%,4.5%,7.11%
377,AXP,Sell to Open,06/23/2023,45,$170.00,$0.70,$0.59,$0.81,18%,07/21/2023,N,$153.38,0.46%,3.79%,10.84%
378,SBUX,Sell to Open,06/23/2023,45,$115.00,$0.48,$0.44,$0.52,2%,08/01/2023,N,$106.71,0.45%,3.73%,7.77%
